38,Roušky ve zdravotnických zařízeních,"Zákaz pohybu a pobytu všech osob bez ochranných prostředků dýchacích sest (nos, ústa) ve zdravotnických zařízeních",1,narizeni,16,"<b>Nevztahuje se na Vás, pokud: </b>
<ul>
<li>Jste dítě do dvou let</li>
<li>Jste osoba s poruchou intelektu, kognitivní poruchou <li>zkrátka váš stav neumožňuje dodržení tohoto zákazu.</li>
<li>Pokud jste pacienti na lůžku a zrovna podstupujete nějaký lékařský zákrok/proceduru, kde dodržování tohoto zákazu není možné</li>
</ul>",NULL,NULL,modal-md,fas fa-exclamation-triangle,NULL
31,Roušky na úřadech,"Povinnost nošení roušek platí pro vnitřní prostory, kde vykonávají svoji činnost orgány veřejné moci
a správní orgány, určené pro kontakt s veřejností a v době, kdy slouží pro tento
účel. Tedy lidsky řečeno - na úřady, magistráty, ministerstva a podobné. ",11,narizeni,13,"- Jste dítě do dvou let
- Jste u soudu. Jako soudce, přísedící, státní zástupce, obviněný, obhájce obviněného, účastník civilních,
správních a ústavních soudních řízení a jejich zástupce, svědkek, znalec, tlumočník, případně někdo jiným o kom rozhodně soud
- Roušku mít nemusíte, pokud zrovna probíhá vás sňateční obřad / vstupujete do redistrovaného partnersví. Nevztahuje se ani pro účastníky.
- Roušku mít nemusíte, ani když se zrovna fotíte (např. fotka novomanženů, fotka se členy domácnosti)

",NULL,NULL,modal-md,fas fa-exclamation-triangle,NULL
33,Roušky ve veřejné dopravě,"Povinnost nosit roušku v prostředcích veřejné dopravy. Vlak, autobus, MHD, taxi",2,narizeni,13,"- Jste dítě do dvou let
- Jste osoba s poruchou intelektu, kognitivní poruchou - zkrátka váš stav neumožňuje dodržení tohoto zákazu. 
- Zrovna řídíte MHD a neodbavujete / nejste v kontaktu s cestujícími
- Jste v MHD a zrovna jíte/pijete (v některých MHD je jezení stejně zakázáno, takže smůla)
",NULL,NULL,modal-md,fas fa-exclamation-triangle,NULL
29,Roušky ve zdravotnických zařízeních,"Povinnost nošení roušek platí pro pohyb a pobyt osob ve všech zdravotnických zařízeních
",1,narizeni,13,"- Jste dítě do dvou let 
- Jste osoba s poruchou intelektu, kognitivní poruchou - zkrátka váš stav neumožňuje dodržení tohoto zákazu.
- Jste hospitalizovaným pacientem
- Jste v bazénu
- Jste zdravotnickým pracovníkem (jen když je to nutné) 
",NULL,NULL,modal-md,fas fa-exclamation-triangle,NULL
30,Roušky v sociálních zařízeních,"Povinnost nošení roušek platí pro pohyb a pobyt osob v zařízeních sociálních služeb. Nevztahuje se na vás, pokud jste například senior v domě seniorů a bydlíte tam (apod), myšleno je to spíše na návštěvy apod. Jako ýdenní stacionáře, domovy
Zařízeními sociálních služeb jsou např. dobovy pro osoby se zdravotním postižením, domovy pro seniory a domovy se zvláštním
režimem). Platí i pro zařízení poskytující odlehčovací sociální služby v pobytové formě",10,narizeni,13,"- Jste dítě do dvou let
- Jste uživatelem sociálních služeb (~ bydlíte např. v domově důchodců) 
- Jste hospitalizovaným pacientem (nemocniční zařízení)
- Jste zdravotnickým pracovníkem (jen když je to nutné)",NULL,NULL,modal-md,fas fa-exclamation-triangle,NULL
40,Povinné roušky v metru a na nádražích,Povinnost nošení roušek platí pro metro a jeho prostory a ve vnitřních prostech nádraží,2,narizeni,11,"- Jste dítě do dvou let
- Jste osoba s poruchou intelektu, kognitivní poruchou - zkrátka váš stav neumožňuje dodržení tohoto zákazu.
- Na místě pracujete v prostorách dílen, strojoven, skladů, veřejnosti nepřístupných kancelářích atd. Může vás být maximálně 10 v místnosti a musíte dodržovat 2m odstup. ",NULL,NULL,modal-md,fas fa-exclamation-triangle,NULL
35,Akce max. 1 000 lidí venku + roušky,"Limit 1 000 osob, koná-li se akce převážně ve venkovních prostorech. Pokud se akce koná ve stavebně členěných areálech, je možné dosáhnout vyššího limitu účastníků, rozdělením osob do těchto navzájem nepřístupných sektorů. Při účasti více než 100 osob jsou povinné roušky.",3,narizeni,14,"Nošení roušek se na vás nevztahuje, pokud:
- Jste dítě do dvou let
- Jste osoba s poruchou intelektu, kognitivní poruchou - zkrátka váš stav neumožňuje dodržení tohoto zákazu. 
- Zrovna probíhá vás sňateční obřad / vstupujete do redistrovaného partnersví. Nevztahuje se ani pro účastníky. 
- Zrovna vystupujete (např. hrajete v divadle, tančíte, moderujete...)  
- Zrovna sportujete, soutěžíte...",NULL,NULL,modal-md,fas fa-exclamation-triangle,NULL
36,Akce max. 500 lidí vevnitř + roušky,"Limit 500 osob, koná-li se akce ve vnitřních prostorech. Pokud se akce koná ve stavebně členěných areálech, je možné dosáhnout vyššího limitu účastníků, rozdělením osob do těchto navzájem nepřístupných sektorů. Při účasti více než 100 osob jsou povinné roušky.",3,narizeni,14,"Nošení roušek se na vás nevztahuje, pokud:

- Jste dítě do dvou let
- Jste osoba s poruchou intelektu, kognitivní poruchou - zkrátka váš stav neumožňuje dodržení tohoto zákazu.
- Zrovna probíhá vás sňateční obřad / vstupujete do redistrovaného partnersví. Nevztahuje se ani pro účastníky.
- Zrovna vystupujete (např. hrajete v divadle, tančíte, moderujete...) 
- Zrovna sportujete, soutěžíte...",NULL,NULL,modal-md,fas fa-exclamation-triangle,NULL
39,Roušky v zařízeních sociálních služeb,"Zákaz pohybu a pobytu všech osob bez ochranných prostředků dýchacích sest (nos, ústa) v zařízeních sociálních služeb (např. domov seniorů) ",10,narizeni,16,"- Děti do 2 let
- Osoby s poruchou intelektu. kognitivní poruchou, či závažně duševně nemocní
- Pacienti při ošetřeních či na lůžku
- Nevztahuje se na zařízení sociálních služeb s odborným poradenstvím a na služby sociální prevence",NULL,NULL,modal-md,fas fa-exclamation-triangle,NULL
41,Návštěvy max. 2 lidi,"Návštěvy jsou povoleny v počtu nejvýše dvou osob u jednoho pacienta ve stejný čas, každá osoba navštěvující pacienta je dotazována na symptomy onemocnění covid-19, např. formou dotazníku, pokud navštěvující osoba vykazuje pozitivní příznak odpovídající nemoci, nelze připustit její přítomnost u pacienta, pokud je to možné, návštěvy probíhají ve venkovních prostorách zařízení",1,narizeni,22,<ul><li>Uvedená omezení se nevztahují na návštěvy pacientů v terminálním stádiu</li></ul>,NULL,NULL,modal-md,fas fa-exclamation-triangle,NULL
